lat,lng,house,evnum,building,charger,pop,pop_density,ave_traffic,loc_typ1,loc_typ2,five_days,no_five_days,weekends,no_weekends,free,no_free,tourist
37.4973165,126.7386016,0.911846104,0.350192251,0.107738998,0.323076923,0.871756772,0.926131898,0,0,1,0,1,1,0,0,1,2762968
37.48076132,126.7173588,0.911846104,0.350192251,0.010622155,1,0.871756772,0.926131898,0,0,1,0,1,1,0,1,0,2762968
37.50401235,126.7180036,0.911846104,0.350192251,0.116843703,0.086153846,0.871756772,0.926131898,0,0,1,0,1,0,1,0,1,2762968
37.4936086,126.702259,0.911846104,0.350192251,0.106221548,1,0.871756772,0.926131898,0,0,1,0,1,1,0,0,1,2762968
37.4912321,126.7157897,0.911846104,0.350192251,0.125948407,0.492307692,0.871756772,0.926131898,0,0,1,0,1,1,0,0,1,2762968
37.5167307,126.7328554,0.911846104,0.350192251,0.062215478,0.153846154,0.871756772,0.926131898,0,1,0,1,0,0,1,0,1,2762968
37.4777748,126.7095452,0.911846104,0.350192251,0.069802731,0.323076923,0.871756772,0.926131898,0,0,1,1,0,1,0,0,1,2762968
37.4807943,126.7103842,0.911846104,0.350192251,0.065250379,0.492307692,0.871756772,0.926131898,0,0,1,1,0,1,0,0,1,2762968
37.5163897,126.7186209,0.911846104,0.350192251,0.024279211,0.111538462,0.871756772,0.926131898,0,0,1,1,0,1,0,0,1,2762968
37.5189583,126.6773643,1,0.646554274,0.128983308,0.238461538,1,0.283905369,0,0,1,1,0,1,0,0,1,394296
37.478241,126.6874532,1,0.646554274,0.010622155,0.086153846,1,0.283905369,1,0,1,1,0,1,0,0,1,394296
37.60196626,126.6616316,1,0.646554274,0.053110774,0.057142857,1,0.283905369,0,0,1,1,0,1,0,0,1,394296
37.51067996,126.6743275,1,0.646554274,0.209408194,0.153846154,1,0.283905369,0,0,1,1,0,0,1,0,1,394296
37.54697255,126.6723554,1,0.646554274,0.159332322,0.062721893,1,0.283905369,0,0,1,1,0,1,0,0,1,394296
37.37978895,126.6376618,0.651904898,0.611949127,0,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.38312856,126.64081,0.651904898,0.611949127,0.04552352,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.3803676,126.6379787,0.651904898,0.611949127,0,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.3759514,126.6450903,0.651904898,0.611949127,0,0.032967033,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.375934,126.6450942,0.651904898,0.611949127,0,0.032967033,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.37872461,126.6430757,0.651904898,0.611949127,0,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.378758,126.643067,0.651904898,0.611949127,0,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.39799112,126.650078,0.651904898,0.611949127,0,0.023668639,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.39370055,126.6454937,0.651904898,0.611949127,0,0,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.39380564,126.645404,0.651904898,0.611949127,0,0,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.38760223,126.6450931,0.651904898,0.611949127,0.04552352,0.025230769,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.38505558,126.6497293,0.651904898,0.611949127,0,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.38512915,126.649749,0.651904898,0.611949127,0,0.323076923,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.385323,126.643226,0.651904898,0.611949127,0.04552352,0.062721893,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.42685707,126.679109,0.651904898,0.611949127,0.006069803,1,0.690235086,0.4280021,0,0,1,0,1,1,0,1,0,1879648
37.425602,126.684683,0.651904898,0.611949127,0.010622155,0.323076923,0.690235086,0.4280021,0,1,0,0,1,1,0,1,0,1879648
